Chthonian1 Chthonian:
	Life: 8
	Strength: 7
	Intelligence: 10
	Disquiet: 10
	Traumatism: 1
Ghoul1 Ghoul:
	Life: 4
	Strength: 4
	Intelligence: 2
	Disquiet: 6
	Nature: unnatural
Ghoul2 Ghoul:
	Life: 4
	Strength: 4
	Intelligence: 2
	Disquiet: 6
	Nature: unnatural
Ghoul3 Ghoul:
	Life: 4
	Strength: 4
	Intelligence: 10
	Disquiet: 6
	Nature: unnatural
Hanna Professor:
	Life: 4
	Strength: 1
	Intelligence: 9
	Fear: 4
	Terror: 2
	Gender: female
	Is investigator: Yes
Jane Nurse:
	Life: 10
	Strength: 3
	Intelligence: 7
	Fear: 9
	Gender: female
	Is investigator: No
John Reporter:
	Life: 6
	Strength: 4
	Intelligence: 6
	Fear: 7
	Terror: 10
	Gender: male
	Is investigator: Yes
Shoggoth1 Shoggoth:
	Life: 8
	Strength: 9
	Intelligence: 6
	Disquiet: 10
	Traumatism: 2
